Str1,elem,PP_radius_s,PP_radius_p,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx
bcc,Li,0.985,0.625,0.006,0.5,0.201,3,2.85,0.94,13,2,1,6,6.94,128,147,5.39,75.62,122.42,182,0.98,29,9.7,24744,1623,454,2985,160940,1.63,344,0.85,1.07,29.12,0.62,4.9,6,1.75,2.9,1,0,0,1,1,0,0,1,0.62,14.07,4.06,11.1,20.299,14.64,13.78,11.54,3.467,0.067,82.35,0.3684,1.224745,0.7908,1.862,0.3375,0.680175,229,0,0,0.53,14.64,13.78,11.54,13.78,14.64,7.84
bcc,Be,0.64,0.44,,0.96,14.001,4,5.05,4.66,4.9,2,2,12,9.01,96,297,9.32,18.21,153.85,153,1.57,61,2.8,16454.1,2744,1562,11723,325314,3.32,1440,2,3.08,9.5,-0.5,287,130,132,4.98,2,0,0,2,0,0,0,0,1.07,122.95,98.84,233.86,7.813,161.18,103.83,211.11,1.244,4.217,772.29,0.183,1.224745,19.2673,1.1153,63.8894,0.680175,194,0,0,1.07,161.18,103.83,211.11,103.83,161.18,150.3
bcc,Na,1.1,1.55,0.029,0.22,0.439,11,2.7,0.55,23.78,3,1,5,22.99,166,97.7,5.14,47.29,71.8,227,0.93,83,5.3,28219,1173,371,2600,108019,1.11,158,1.41,2.11,51.3,0.55,10,6.3,3.3,2.75,1,0,0,1,1,0,0,1,0.47,8.51,3.18,8.48,37.144,9.8,7.87,6.65,2.678,0.029,118.07,0.334,1.224745,0.6196,1.6366,0.4431,0.680175,229,0,0,0.36,9.8,7.87,6.65,7.87,9.8,4.75
bcc,K,1.54,2.15,0.017,0.11,0.113,19,2.25,0.27,45.63,4,1,4,39.1,203,76.9,4.34,31.81,45.9,275,0.82,87,6,29977.5,1049,336,2319.5,89974,0.93,91,1.02,1.39,64.68,0.5,3.42,3.1,1.3,2.3,1,0,0,1,1,0,0,1,0.34,3.36,1.11,3,73.736,3.7,3.19,2.61,3.022,0.005,81.99,0.351,1.224745,0.2168,1.7383,0.1218,0.680175,229,0,0,0.32,3.7,3.19,2.61,3.19,3.7,1.82
bcc,V,1.09,1.34,0.608,2.47,5.157,23,4.25,4.41,8.36,4,5,50,50.94,153,453,6.74,14.2,29.7,179,1.63,497,0.84,24744,3665,2202,17584.6,514558,5.31,380,0.31,0.5,30.89,0.528,128,160,47,4.3,2,0,3,5,0,0,7,7,3.3,187.19,30.42,86.56,13.453,272.03,144.77,17.63,6.154,0.754,409.19,0.4229,1.224745,5.9288,2.4808,0.803,0.680175,229,0,0,2.63,272.03,144.77,17.63,144.77,272.03,32.97
bcc,Cr,1.07,1.37,1.599,3.35,19.006,24,4.65,5.18,7.23,4,6,53,52,139,339,6.76,16.49,31,189,1.66,1133,0.72,23273.6,2840,2133,13816.4,396071,4.1,630,0.94,0.78,23.54,0.676,279,160,115,4.5,1,0,5,6,1,0,5,6,4.08,131.48,61.26,159.08,11.575,247.63,73.41,48.25,2.146,1.764,709.1,0.2984,1.224745,11.9414,1.465,13.2993,0.680175,229,0,0,2.94,247.63,73.41,48.25,73.41,247.63,61.2
bcc,Fe,0.95,1.16,0.807,2.53,7.555,26,4.93,5.55,7.09,4,8,59,55.85,132,347,7.9,16.18,30.64,194,1.83,3045,0.66,25078.9,3160,1811,15365.6,417843,4.28,470,0.8,1.02,27.28,0.153,211,170,82,4.5,2,0,6,8,0,0,4,4,3.3,192.27,80.66,212.29,11.358,279.16,148.83,93.02,2.384,2.367,916.08,0.316,1.224745,15.7222,1.544,14.1939,0.680175,229,0,0,2.41,279.16,148.83,93.02,148.83,279.16,83.74
bcc,Rb,1.67,2.43,0.007,0.08,0.068,37,2.1,0.22,56.07,5,1,3,85.47,220,71,4.18,27.56,40,303,0.82,97,3.4,30898.6,978,313,2344.6,81684,0.85,56,0.58,0.8,76.78,0.486,2.4,2.5,0.63,2.16,1,0,0,1,1,0,0,1,0.32,2.83,0.82,2.25,90.81,3.05,2.72,2.02,3.44,0.003,74.71,0.3675,1.224745,0.1604,1.8547,0.0695,0.680175,229,0,0,0.29,3.05,2.72,2.02,2.72,3.05,1.4
bcc,Sr,1.42,2.43,0.01,0.36,0.103,38,2.4,0.59,33.93,5,2,9,87.62,195,137,5.69,11.03,43.6,249,0.95,92,2,27214.2,1630,1042,9211,163704,1.72,147,0.35,0.47,55.69,0.052,15.6,11.9,6.1,2.59,2,0,0,2,0,0,0,0,1.25,12.45,6.43,16.46,53.242,14.62,11.37,14.56,1.936,0.04,342.5,0.2797,1.224745,1.2539,1.3914,1.7166,0.680175,225,0,0,0.93,14.62,11.37,14.56,11.37,14.62,10.25
bcc,Nb,1.23,2.43,0.598,2.15,5.855,41,4.05,4.41,10.8,5,5,49,92.91,164,690,6.88,13.9,28.1,207,1.6,450,0.6,24911.5,5115,2750,26795.5,722223,7.57,275,0.54,0.69,36.27,0.917,105,170,38,4.3,1,0,4,5,1,0,6,7,3.62,175.73,25.01,71.62,18.342,247.23,139.98,14.16,7.027,0.454,458.67,0.4321,1.224745,4.8744,2.6509,0.5064,0.680175,229,0,0,2.94,247.23,139.98,14.16,139.98,247.23,27.32
