,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
0,MnCoNi,['FCC'],298.0,"['CW', 'A']",0.4,608000000.0
1,Cr3Fe4Co7(Ni2Mo)2,"['FCC', 'mu']",298.0,"['CW', 'A']",,1360000000.0
2,VCoNi,,298.0,"['CW', 'A']",27.8,1049000000.0
3,MnFeNi,['FCC'],298.0,"['CW', 'A']",0.894,601000000.0
4,HfZrTaTiNb,['BCC'],298.0,['AC'],500,1212000000.0
5,Mn4CrFe4Co,['FCC'],298.0,"['HR', 'A']",18,1004000000.0
6,Al0.3Cr1Fe1Cu0.5Ni2,"['FCC', 'L12', 'carbide']",298.0,"['CW', 'A']",,584000000.0
7,Nb0.309Cr1Fe1Co1Ni1,"['C14', 'FCC']",298.0,['AC'],150-200,879000000.0
8,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],973.0,"['DC', 'A']",,840000000.0
9,Cr24Fe24Co24Ni24Mo5,,298.0,['AC'],,589600000.0
10,Al0.3Cr1Fe1Cu0.5Ni2,"['FCC', 'L12']",298.0,"['CW', 'A']",,642000000.0
11,Ti0.3Cr1Fe1Ni2,['FCC'],298.0,"['A', 'HR']",90,982000000.0
12,Cr2CoNi2,['FCC'],298.0,"['CW', 'A']",0.848,703000000.0
13,Al17Cr17(FeNi)33,"['B2', 'BCC', 'FCC']",298.0,['AC'],,1437000000.0
14,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],1173.0,"['DC', 'A']",,319000000.0
15,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",7.9,700100000.0
16,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,['AC'],,950000000.0
17,Fe1Co1Cu1Ni1Sn0.04,"['?', 'FCC']",298.0,['AC'],,594000000.0
18,Al0.3Cr1Fe1Cu0.5Ni2,['FCC'],298.0,"['CW', 'A']",,169000000.0
19,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,899000000.0
20,FeCoNi,['FCC'],298.0,"['CW', 'A']",74,498000000.0
21,Mn34.2Al7.4Cr5.9Fe39.6Ni11.2C1.1,,298.0,['AC'],,1174000000.0
22,CrFeCoNi,['FCC'],200.0,"['A', 'HF']",,790000000.0
23,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,849000000.0
24,MnFeCoCuNi,['FCC'],298.0,['AC'],,478000000.0
25,Mn1Fe1Co1Cu1Ni1Sn0.1,"['?', 'FCC']",298.0,['AC'],,470000000.0
26,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",,974000000.0
27,Al4Cr19Fe19Co19Cu4Ni37,['FCC'],298.0,"['CW', 'A']",,1048000000.0
28,CrFeCoNi,['FCC'],298.0,['AC'],150-200,413000000.0
29,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",3.4,567000000.0
30,MnFeCoNi,['FCC'],298.0,['CW'],48,550000000.0
31,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,"['CW', 'A']",1.4,1270000000.0
32,AlCr2Fe2Co2(CuNi)2,['FCC'],298.0,['CW'],,1400000000.0
33,Cr5Fe2Co11Ni2,"['FCC', 'HCP']",298.0,"['CW', 'A']",5.6,746000000.0
34,Mn3CrFe5Co,"['FCC', 'HCP']",298.0,"['HR', 'A']",6.5,1400000000.0
35,Mn3CrFe5Co,"['FCC', 'HCP']",298.0,"['HR', 'A']",5.2,1200000000.0
36,AlCrFeCoCuNi,"['BCC', 'FCC', 'FCC', 'sigma']",298.0,['HF'],,1170000000.0
37,HfZrTaTiNb,['BCC'],298.0,['AC'],,869000000.0
38,Al16Cr16Fe16Co16Ni34.4,"['B2', 'L12']",298.0,,,1050000000.0
39,MnCrFeCoNi,['FCC'],298.0,"['HR', 'A']",245.48,625600000.0
40,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,838000000.0
41,Mn1Fe1Co1Cu1Ni1Sn0.2,"['?', 'FCC']",298.0,['AC'],,368000000.0
42,MnFeNi,['FCC'],298.0,['CW'],30,602000000.0
43,CrFeCoNi,['FCC'],298.0,['A'],,453000000.0
44,Fe1Co1Cu1Ni1Sn0.02,['FCC'],298.0,['AC'],,548000000.0
45,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],296.0,"['DC', 'A']",,1197000000.0
46,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.65,888000000.0
47,MnCoNi,['FCC'],298.0,"['CW', 'A']",1.43,569000000.0
48,Cr3Fe4Co7(Ni2Mo)2,"['FCC', 'mu']",298.0,"['CW', 'A']",,1249000000.0
49,Ti0.3Cr1Fe1Co0.5Ni1.5,['FCC'],298.0,"['A', 'HR']",90,875000000.0
50,Nb0.103Cr1Fe1Co1Ni1,"['C14', 'FCC']",298.0,['AC'],150-200,622000000.0
51,CrFeCoNi,['FCC'],298.0,['AC'],,472400000.0
52,VCoNi,,298.0,"['CW', 'A']",122.2,886000000.0
53,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",100,840000000.0
54,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,802000000.0
55,ZrTiNb,['BCC'],298.0,['AC'],500,991000000.0
56,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",14.9,612000000.0
57,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.72,672000000.0
58,AlCrFeCoNi,"['B2', 'BCC']",973.0,['AC'],,400000000.0
59,Al0.9Cr1Fe1Ni2.1,"['B2', 'BCC', 'FCC']",298.0,['AC'],,1173000000.0
60,MnFeNi,['FCC'],298.0,"['CW', 'A']",1.25,599000000.0
